,Fact,BLC,Subject,Lesson,prior_knowledge
0,Montserrat,0.3652895614248519,83680,Caribbean Flags,-1
1,St%20Lucia,-0.21872537281536503,83680,Caribbean Flags,-1
2,Dominica,-0.5463029233765366,83680,Caribbean Flags,-1
3,Haiti,-0.10731589045441893,83680,Caribbean Flags,-1
4,Jamaica,0.04706066065894385,83680,Caribbean Flags,1
5,Grenada,0.04529130852580982,83680,Caribbean Flags,-1
6,Anguilla,-0.21719473956114083,83680,Caribbean Flags,-1
7,Cuba,0.2391947314595689,83680,Caribbean Flags,1
8,Trinidad,0.5799493089019547,83680,Caribbean Flags,-1
9,Bahamas,0.14067512217981773,83680,Caribbean Flags,-1
10,Aruba,0.3669528458048825,83680,Caribbean Flags,-1
11,St%20Kitts%20and%20Nevis,-0.47003709091578105,83680,Caribbean Flags,-1
12,Bonaire,0.38527365489010024,83680,Caribbean Flags,-1
13,Martinique,-0.16156016722756988,83680,Caribbean Flags,-1
14,Barbados,1.5674127879088187,83680,Caribbean Flags,-1
15,Montserrat,0.2388549565611628,83680,Caribbean Flags,-1
16,St%20Lucia,-0.3451599000782573,83680,Caribbean Flags,-1
17,Dominica,-0.6727374515810499,83680,Caribbean Flags,-1
18,Haiti,-0.23375043680862312,83680,Caribbean Flags,-1
19,Jamaica,-0.07937386744279926,83680,Caribbean Flags,1
20,Grenada,-0.08114325939114463,83680,Caribbean Flags,-1
21,Anguilla,-0.3436292808697566,83680,Caribbean Flags,-1
22,Cuba,0.11276018991753062,83680,Caribbean Flags,1
23,Trinidad,0.45351473360966466,83680,Caribbean Flags,-1
24,Bahamas,0.014240559353890824,83680,Caribbean Flags,-1
25,Aruba,0.24051828630556543,83680,Caribbean Flags,-1
26,St%20Kitts%20and%20Nevis,-0.596471665944044,83680,Caribbean Flags,-1
27,Bonaire,0.2588390949030454,83680,Caribbean Flags,-1
28,Martinique,-0.2879946964082037,83680,Caribbean Flags,-1
29,Barbados,1.440978215931266,83680,Caribbean Flags,-1
30,Montserrat,0.300360074872801,83657,Caribbean Flags,1
31,St%20Lucia,0.07740837208830569,83657,Caribbean Flags,1
32,Dominica,0.28065151849676667,83657,Caribbean Flags,-1
33,Haiti,-0.054084644819854415,83657,Caribbean Flags,-1
34,Jamaica,0.1475691936692875,83657,Caribbean Flags,-1
35,Grenada,0.19718887333575363,83657,Caribbean Flags,1
36,Anguilla,0.30944830488482344,83657,Caribbean Flags,-1
37,Cuba,0.17468414999930215,83657,Caribbean Flags,-1
38,Bonaire,-0.019499739187854866,83657,Caribbean Flags,-1
39,Bahamas,0.1092279627667704,83657,Caribbean Flags,-1
40,St%20Kitts%20and%20Nevis,0.12841355174102262,83657,Caribbean Flags,-1
41,Martinique,0.018873151493114856,83657,Caribbean Flags,-1
42,Trinidad,0.19003005101018322,83657,Caribbean Flags,1
43,Barbados,0.17440300112427023,83657,Caribbean Flags,-1
44,Aruba,0.04869305485817558,83657,Caribbean Flags,-1
45,Montserrat,0.07525739027475166,83657,Caribbean Flags,1
46,St%20Lucia,-0.14769430204674808,83657,Caribbean Flags,1
47,Dominica,0.05554886329069962,83657,Caribbean Flags,-1
48,Haiti,-0.27918731098877975,83657,Caribbean Flags,-1
49,Jamaica,-0.07753348054137556,83657,Caribbean Flags,-1
50,Grenada,-0.027913812247989535,83657,Caribbean Flags,1
51,Anguilla,0.08434565198277078,83657,Caribbean Flags,-1
52,Cuba,-0.05041852236564209,83657,Caribbean Flags,-1
53,Bonaire,-0.24460241500190438,83657,Caribbean Flags,-1
54,Bahamas,-0.11587472784960705,83657,Caribbean Flags,-1
55,St%20Kitts%20and%20Nevis,-0.0966891193996642,83657,Caribbean Flags,-1
56,Martinique,-0.20622951982537752,83657,Caribbean Flags,-1
57,Trinidad,-0.03507263023787443,83657,Caribbean Flags,1
58,Barbados,-0.05069967733699159,83657,Caribbean Flags,-1
59,Aruba,-0.17640962088924614,83657,Caribbean Flags,-1
60,Montserrat,-0.15834195969280018,83658,Caribbean Flags,1
61,St%20Lucia,-0.24068342798843012,83658,Caribbean Flags,-1
62,Dominica,-0.10793283175598678,83658,Caribbean Flags,-1
63,Haiti,-2.360679774997898,83658,Caribbean Flags,-1
64,Jamaica,-0.009995276384449577,83658,Caribbean Flags,1
65,Grenada,0.17465324737703666,83658,Caribbean Flags,-1
66,Anguilla,0.003829818028721432,83658,Caribbean Flags,1
67,Cuba,-0.16856162762634946,83658,Caribbean Flags,1
68,Trinidad,-0.007581132897330273,83658,Caribbean Flags,1
69,St%20Kitts%20and%20Nevis,0.7819891158755491,83658,Caribbean Flags,1
70,Bonaire,0.26972933230161206,83658,Caribbean Flags,-1
71,Martinique,0.1619270435087553,83658,Caribbean Flags,1
72,Bahamas,0.16519693440860214,83658,Caribbean Flags,1
73,Barbados,-0.06237471913063437,83658,Caribbean Flags,1
74,Aruba,0.2960427804473695,83658,Caribbean Flags,1
75,Montserrat,-0.22515184515599704,83658,Caribbean Flags,1
76,St%20Lucia,-0.3074933030500671,83658,Caribbean Flags,-1
77,Dominica,-0.17474273066817667,83658,Caribbean Flags,-1
78,Haiti,-2.360679774997898,83658,Caribbean Flags,-1
79,Jamaica,-0.07680515967688303,83658,Caribbean Flags,1
80,Grenada,0.10784335152561675,83658,Caribbean Flags,-1
81,Anguilla,-0.06298009919628027,83658,Caribbean Flags,1
82,Cuba,-0.23537153078482476,83658,Caribbean Flags,1
83,Trinidad,-0.07439106594227103,83658,Caribbean Flags,1
84,St%20Kitts%20and%20Nevis,0.7151792160452356,83658,Caribbean Flags,1
85,Bonaire,0.20291943634183973,83658,Caribbean Flags,-1
86,Martinique,0.09511716770635514,83658,Caribbean Flags,1
87,Bahamas,0.09838705120736506,83658,Caribbean Flags,1
88,Barbados,-0.12918462084003593,83658,Caribbean Flags,1
89,Aruba,0.22923288116433163,83658,Caribbean Flags,1
90,Montserrat,0.031618516431675535,83659,Caribbean Flags,-1
91,St%20Lucia,-0.09503981720535563,83659,Caribbean Flags,-1
92,Dominica,-0.16952344886586962,83659,Caribbean Flags,-1
93,Haiti,0.18144142221105067,83659,Caribbean Flags,-1
94,Jamaica,-0.09894975470375222,83659,Caribbean Flags,-1
95,Grenada,-0.11147969033490246,83659,Caribbean Flags,-1
96,Anguilla,0.60074954174324,83659,Caribbean Flags,-1
97,Cuba,0.08425014089659032,83659,Caribbean Flags,-1
98,Trinidad,-0.15060980310812544,83659,Caribbean Flags,-1
99,Bahamas,-0.04218516055941508,83659,Caribbean Flags,-1
100,St%20Kitts%20and%20Nevis,0.30653999276826094,83659,Caribbean Flags,-1
101,Bonaire,-2.360679774997898,83659,Caribbean Flags,-1
102,Martinique,0.015004382213677423,83659,Caribbean Flags,-1
103,Barbados,0.036613005076311544,83659,Caribbean Flags,-1
104,Aruba,-0.08948901015786861,83659,Caribbean Flags,-1
105,Montserrat,0.1739282370834626,83659,Caribbean Flags,-1
106,St%20Lucia,0.04726989159287022,83659,Caribbean Flags,-1
107,Dominica,-0.02721373130976979,83659,Caribbean Flags,-1
108,Haiti,0.3237511313058463,83659,Caribbean Flags,-1
109,Jamaica,0.04335994935019803,83659,Caribbean Flags,-1
110,Grenada,0.030830020518447295,83659,Caribbean Flags,-1
111,Anguilla,0.7430592171510426,83659,Caribbean Flags,-1
112,Cuba,0.22655984068810742,83659,Caribbean Flags,-1
113,Trinidad,-0.008300096388493489,83659,Caribbean Flags,-1
114,Bahamas,0.1001245345215952,83659,Caribbean Flags,-1
115,St%20Kitts%20and%20Nevis,0.44884970102523736,83659,Caribbean Flags,-1
116,Bonaire,-2.360679774997898,83659,Caribbean Flags,-1
117,Martinique,0.15731408892490018,83659,Caribbean Flags,-1
118,Barbados,0.17892271693619916,83659,Caribbean Flags,-1
119,Aruba,0.05282070102658604,83659,Caribbean Flags,-1
120,Montserrat,0.2975374190655896,83723,Caribbean Flags,-1
121,St%20Lucia,0.2545368130021848,83723,Caribbean Flags,-1
122,Dominica,0.28949320663949146,83723,Caribbean Flags,1
123,Haiti,0.21094650367261963,83723,Caribbean Flags,-1
124,Jamaica,0.1906503079698743,83723,Caribbean Flags,1
125,Grenada,0.2114951137049263,83723,Caribbean Flags,-1
126,Anguilla,0.21653135054907946,83723,Caribbean Flags,-1
127,Cuba,0.3252647122416408,83723,Caribbean Flags,1
128,Bonaire,0.29632689504396226,83723,Caribbean Flags,-1
129,Trinidad,0.40538825537902207,83723,Caribbean Flags,1
130,Aruba,0.4882857467370319,83723,Caribbean Flags,-1
131,Martinique,0.2287456960694165,83723,Caribbean Flags,-1
132,Bahamas,0.3356716233525304,83723,Caribbean Flags,-1
133,St%20Kitts%20and%20Nevis,0.388541476149138,83723,Caribbean Flags,-1
134,Barbados,0.3538054741124123,83723,Caribbean Flags,1
135,Montserrat,0.3919699922461211,83723,Caribbean Flags,-1
136,St%20Lucia,0.34896939447508857,83723,Caribbean Flags,-1
137,Dominica,0.38392579447929814,83723,Caribbean Flags,1
138,Haiti,0.30537908818927206,83723,Caribbean Flags,-1
139,Jamaica,0.2850828843050765,83723,Caribbean Flags,1
140,Grenada,0.3059277025601498,83723,Caribbean Flags,-1
141,Anguilla,0.31096393698696473,83723,Caribbean Flags,-1
142,Cuba,0.41969729396526256,83723,Caribbean Flags,1
143,Bonaire,0.39075948608498506,83723,Caribbean Flags,-1
144,Trinidad,0.49982084855979153,83723,Caribbean Flags,1
145,Aruba,0.5827183458892375,83723,Caribbean Flags,-1
146,Martinique,0.32317827915237396,83723,Caribbean Flags,-1
147,Bahamas,0.430104210091696,83723,Caribbean Flags,-1
148,St%20Kitts%20and%20Nevis,0.48297407196119896,83723,Caribbean Flags,-1
149,Barbados,0.44823805431018454,83723,Caribbean Flags,1
150,Montserrat,0.062496267995799874,83661,Caribbean Flags,-1
151,St%20Lucia,0.18925696540120784,83661,Caribbean Flags,-1
152,Dominica,-2.360679774997898,83661,Caribbean Flags,-1
153,Haiti,-0.29636436204463285,83661,Caribbean Flags,-1
154,Jamaica,-0.1699600539485695,83661,Caribbean Flags,1
155,Grenada,-0.15222891998667945,83661,Caribbean Flags,-1
156,Anguilla,-0.12976057367629903,83661,Caribbean Flags,-1
157,Trinidad,0.05707345412571034,83661,Caribbean Flags,1
158,Bonaire,-0.2913404019963002,83661,Caribbean Flags,-1
159,Bahamas,0.5313591773769419,83661,Caribbean Flags,-1
160,Aruba,-0.2350298007099614,83661,Caribbean Flags,-1
161,Martinique,-0.16999508792741902,83661,Caribbean Flags,-1
162,Cuba,-0.12413687097897323,83661,Caribbean Flags,1
163,St%20Kitts%20and%20Nevis,-0.037382778141134894,83661,Caribbean Flags,1
164,Barbados,-0.1563045358834061,83661,Caribbean Flags,-1
165,Montserrat,0.5408169430977499,83661,Caribbean Flags,-1
166,St%20Lucia,0.6675776175406568,83661,Caribbean Flags,-1
167,Dominica,-2.360679774997898,83661,Caribbean Flags,-1
168,Haiti,0.18195629856897846,83661,Caribbean Flags,-1
169,Jamaica,0.30836060148536126,83661,Caribbean Flags,1
170,Grenada,0.32609174134789864,83661,Caribbean Flags,-1
171,Anguilla,0.34856004435516696,83661,Caribbean Flags,-1
172,Trinidad,0.5353941110509899,83661,Caribbean Flags,1
173,Bonaire,0.18698024643588784,83661,Caribbean Flags,-1
174,Bahamas,1.0096798091709325,83661,Caribbean Flags,-1
175,Aruba,0.24329089275954266,83661,Caribbean Flags,-1
176,Martinique,0.3083255585158435,83661,Caribbean Flags,-1
177,Cuba,0.3541837817911521,83661,Caribbean Flags,1
178,St%20Kitts%20and%20Nevis,0.44093786840083204,83661,Caribbean Flags,1
179,Barbados,0.32201610615634424,83661,Caribbean Flags,-1
180,Montserrat,-1.718650179792577,83693,Caribbean Flags,-1
181,St%20Lucia,-2.360679774997898,83693,Caribbean Flags,-1
182,Dominica,-1.0795889204833569,83693,Caribbean Flags,-1
183,Haiti,-0.5417938767683264,83693,Caribbean Flags,-1
184,Jamaica,-0.4767408099319586,83693,Caribbean Flags,-1
185,Grenada,-0.613598179793263,83693,Caribbean Flags,-1
186,Anguilla,-0.820559093638389,83693,Caribbean Flags,-1
187,Bonaire,-0.662600585465695,83693,Caribbean Flags,-1
188,Trinidad,-1.795521654241768,83693,Caribbean Flags,-1
189,St%20Kitts%20and%20Nevis,-2.248928280901948,83693,Caribbean Flags,-1
190,Aruba,-0.9638445372563735,83693,Caribbean Flags,-1
191,Martinique,-1.3122357547730135,83693,Caribbean Flags,-1
192,Cuba,-1.71702128309548,83693,Caribbean Flags,-1
193,Barbados,-0.07590269036192501,83693,Caribbean Flags,-1
194,Montserrat,-1.6181096462737508,83693,Caribbean Flags,-1
195,St%20Lucia,-2.360679774997898,83693,Caribbean Flags,-1
196,Dominica,-0.9790483796469351,83693,Caribbean Flags,-1
197,Haiti,-0.4412533406210335,83693,Caribbean Flags,-1
198,Jamaica,-0.37620029635809177,83693,Caribbean Flags,-1
199,Grenada,-0.5130576386193687,83693,Caribbean Flags,-1
200,Anguilla,-0.7200185550324306,83693,Caribbean Flags,-1
201,Bonaire,-0.562060044425926,83693,Caribbean Flags,-1
202,Trinidad,-1.694981111210216,83693,Caribbean Flags,-1
203,St%20Kitts%20and%20Nevis,-2.1483877489389593,83693,Caribbean Flags,-1
204,Aruba,-0.8633039891067895,83693,Caribbean Flags,-1
205,Martinique,-1.2116952133532464,83693,Caribbean Flags,-1
206,Cuba,-1.6164807262368335,83693,Caribbean Flags,-1
207,Barbados,0.02463785083974102,83693,Caribbean Flags,-1
208,Montserrat,0.5961118725958569,83663,Caribbean Flags,-1
209,St%20Lucia,0.03365941792477553,83663,Caribbean Flags,-1
210,Dominica,-1.2766947609614614,83663,Caribbean Flags,-1
211,Haiti,1.1519366655594916,83663,Caribbean Flags,-1
212,Jamaica,1.4833517130201959,83663,Caribbean Flags,1
213,Grenada,-1.5788663754466836,83663,Caribbean Flags,-1
214,Anguilla,-0.2987304434247095,83663,Caribbean Flags,-1
215,Bonaire,-1.7795132834757674,83663,Caribbean Flags,-1
216,Trinidad,1.6994253444176504,83663,Caribbean Flags,1
217,St%20Kitts%20and%20Nevis,0.23801251241710805,83663,Caribbean Flags,-1
218,Aruba,-1.7169417235868931,83663,Caribbean Flags,-1
219,Bahamas,1.6115748445857376,83663,Caribbean Flags,-1
220,Martinique,-3.1782088117818232,83663,Caribbean Flags,-1
221,Barbados,1.4422542028464675,83663,Caribbean Flags,-1
222,Montserrat,0.41626703024132994,83663,Caribbean Flags,-1
223,St%20Lucia,-0.14618541263174034,83663,Caribbean Flags,-1
224,Dominica,-1.456539663903266,83663,Caribbean Flags,-1
225,Haiti,0.9720918232147364,83663,Caribbean Flags,-1
226,Jamaica,1.3035068862083243,83663,Caribbean Flags,1
227,Grenada,-1.7587112033277499,83663,Caribbean Flags,-1
228,Anguilla,-0.4785752795843574,83663,Caribbean Flags,-1
229,Bonaire,-1.9593581309504347,83663,Caribbean Flags,-1
230,Trinidad,1.5195804731789915,83663,Caribbean Flags,1
231,St%20Kitts%20and%20Nevis,0.058167671720558096,83663,Caribbean Flags,-1
232,Aruba,-1.8967865366936723,83663,Caribbean Flags,-1
233,Bahamas,1.4317299798323808,83663,Caribbean Flags,-1
234,Martinique,-3.3580536631798616,83663,Caribbean Flags,-1
235,Barbados,1.2624093281153914,83663,Caribbean Flags,-1
236,Montserrat,-2.7021706786288924,83664,Caribbean Flags,-1
237,Dominica,-3.018145639018891,83664,Caribbean Flags,-1
238,Haiti,-1.7094328471551654,83664,Caribbean Flags,-1
239,Jamaica,-0.6675902522111874,83664,Caribbean Flags,1
240,Grenada,-1.900623674316944,83664,Caribbean Flags,-1
241,Anguilla,-2.618984857980653,83664,Caribbean Flags,-1
242,Trinidad,-0.8720018525383076,83664,Caribbean Flags,-1
243,Bonaire,-2.8356720472061068,83664,Caribbean Flags,-1
244,Bahamas,-1.8609978088229373,83664,Caribbean Flags,-1
245,Aruba,-1.0195933460527964,83664,Caribbean Flags,-1
246,Martinique,-2.4244834926134837,83664,Caribbean Flags,-1
247,St%20Kitts%20and%20Nevis,-1.3283123269012997,83664,Caribbean Flags,-1
248,Barbados,-1.3237698437426577,83664,Caribbean Flags,-1
249,Montserrat,-2.545363390676258,83664,Caribbean Flags,-1
250,Dominica,-2.8613383401118777,83664,Caribbean Flags,-1
251,Haiti,-1.5526255900532977,83664,Caribbean Flags,-1
252,Jamaica,-0.5107829684572008,83664,Caribbean Flags,1
253,Grenada,-1.7438163399282536,83664,Caribbean Flags,-1
254,Anguilla,-2.4621775606098484,83664,Caribbean Flags,-1
255,Trinidad,-0.7151945487185499,83664,Caribbean Flags,-1
256,Bonaire,-2.678864745794271,83664,Caribbean Flags,-1
257,Bahamas,-1.704190546252495,83664,Caribbean Flags,-1
258,Aruba,-0.8627860437672861,83664,Caribbean Flags,-1
259,Martinique,-2.26767619308252,83664,Caribbean Flags,-1
260,St%20Kitts%20and%20Nevis,-1.1715050218478962,83664,Caribbean Flags,-1
261,Barbados,-1.166962556211941,83664,Caribbean Flags,-1
262,Montserrat,-5.034506714822559,83725,Caribbean Flags,-1
263,St%20Lucia,-2.9642547609977776,83725,Caribbean Flags,-1
264,Dominica,-3.420029643566568,83725,Caribbean Flags,-1
